"a ab abs"	"ā ab abs"	"from, by"	"(away) from; by (agency) + abl."	"26"	"93"	"36"	"Preposition"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#ab"	"19"	"Petronius, Satyricon: 26-78"
"abeo abire abii abitum"	"abeō abīre abiī abitum"	"to go away"	"to go away"	"37"	"11"	"4"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#abeo"	"601"	"Petronius, Satyricon: 26-78"
"aberro –errare"	"aberrō –errāre"	"to go astray"	"to wander out of the way, lose the way, go astray"	"54"	"4"	"2"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#aberro"	"6884"	"Petronius, Satyricon: 26-78"
"abicio abicere abieci abiectum"	"abiciō abicere abiēcī abiectum"	"to throw down/away"	"to throw away, throw down"	"26"	"4"	"3"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#abicio"	"1899"	"Petronius, Satyricon: 26-78"
"abigo abigere abegi abactus"	"abigō abigere abēgī abāctus"	"to drive off or away from"	"to drive off or away from, i.e. beyond (others in); drive away (> ab and ago)"	"46"	"3"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#abigo"	"4098"	"Petronius, Satyricon: 26-78"
"abito abitere"	"ābītō ābītere"	"to go away, depart"	"to go away, depart"	"74"	"1"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#abito"	"14269"	"Petronius, Satyricon: 26-78"
"abscondo abscondere abscondi / abscondidi absconditus / absconsus"	"abscondō abscondere abscondī / abscondidī absconditus / absconsus"	"to put out of sight"	"to put out of sight, hide, conceal; to conceal; lose sight of, withdraw from"	"67"	"4"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#abscondo"	"2352"	"Petronius, Satyricon: 26-78"
"absentivus –a –um"	"absentīvus –a –um"	"absent"	"absent"	"32"	"1"	"1"	"Adjective"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#absentivus"	"14269"	"Petronius, Satyricon: 26-78"
"abstinax –acis "	"abstināx –ācis "	"abstinent"	"abstinent"	"42"	"1"	"1"	"Adjective"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstinax"	"14269"	"Petronius, Satyricon: 26-78"
"absum abesse afui afuturus"	"absum abesse āfuī āfutūrus"	"to be away, be absent"	"to be absent, be distant"	"71"	"2"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#absum"	"409"	"Petronius, Satyricon: 26-78"
"abundo abundare abundavi abundatus"	"abundō abundāre abundāvī abundātus"	"to abound with"	"to overflow; abound; stream over, of a river or lake"	"29"	"1"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#abundo"	"2443"	"Petronius, Satyricon: 26-78"
"accedo accedere accessi accessum"	"accēdō accēdere accessī accessum"	"to approach, be added, be included"	"to go or come to, approach; be added, be included; happen; be an additional factor (esp. impersonal + quod or ut)"	"27"	"24"	"9"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accedo"	"486"	"Petronius, Satyricon: 26-78"
"accendo accendere accendi accensus"	"accendō accendere accendī accēnsus"	"to kindle, set on fire"	"to set on fire"	"26"	"7"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accendo"	"1178"	"Petronius, Satyricon: 26-78"
"accido accidere accidi –––"	"accidō accidere accidī –––"	"to fall; happen"	"to fall, befall, happen"	"60"	"3"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accido"	"775"	"Petronius, Satyricon: 26-78"
"accipio accipere accepi acceptus"	"accipiō accipere accēpī acceptus"	"to receive"	"to receive; accept; hear (of), learn (of)"	"28"	"34"	"21"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accipio"	"128"	"Petronius, Satyricon: 26-78"
"accumbo –cumbere –cubui –cubitum"	"accumbō –cumbere –cubuī –cubitum"	"to lie down"	"to lie down; recline at dinner"	"36"	"1"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accumbo"	"4548"	"Petronius, Satyricon: 26-78"
"accuro –curare"	"accūrō –cūrāre"	"to give close attention to, be careful"	"to give close attention to, be careful"	"34"	"1"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accuro"	"5166"	"Petronius, Satyricon: 26-78"
"accurro –ere –curri (–cucurri) –cursus"	"accurrō –ere –currī (–cucurrī) –cursus"	"to run to"	"to run to; run, hasten up (> ad and curro)"	"27"	"4"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accurro"	"2970"	"Petronius, Satyricon: 26-78"
"acetabulum –i n."	"acētābulum –ī n."	"a vessel for liquid (esp. vinegar)"	"a vessel for liquid (esp. vinegar)"	"56"	"1"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#acetabulum"	"14269"	"Petronius, Satyricon: 26-78"
"acetum –i n."	"acētum –ī n."	"vinegar"	"vinegar; sharpness of wit"	"47"	"2"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#acetum"	"5003"	"Petronius, Satyricon: 26-78"
"Achilles –is m. or Achilleos –ei m."	"Achillēs –is m. or Achilleos –eī m."	"Achilles (name)"	"Achilles (name)"	"59"	"2"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#Achilles"	"1387"	"Petronius, Satyricon: 26-78"
"acia –ae f."	"acia –ae f."	"thread for showing"	"thread for showing"	"76"	"1"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#acia"	"14269"	"Petronius, Satyricon: 26-78"
"acidus –a –um"	"acidus –a –um"	"sour"	"sour, acid, tart"	"31"	"4"	"3"	"Adjective"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#acidus"	"6884"	"Petronius, Satyricon: 26-78"
"acroama –atis n."	"acroāma –atis n."	"item of entertainment, act"	"item of entertainment, act; music for the ear; gratification"	"53"	"2"	"2"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#acroama"	"11988"	"Petronius, Satyricon: 26-78"
"actuarius –(i)i m."	"actuārius –(i)ī m."	"short-hand writer; record keeper"	"short-hand writer; record keeper"	"53"	"1"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#actuarius"	"14269"	"Petronius, Satyricon: 26-78"
"actuarius –a –um"	"āctuārius –a –um"	"easily driven, swift"	"easily driven, swift"	"53"	"1"	"1"	"Adjective"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#actuarius"	"11988"	"Petronius, Satyricon: 26-78"
"actum –i n."	"āctum –ī n."	"deed, law; official record "	"deed, a transaction, law; written record, official record of (e.g.) senate proceedings"	"53"	"2"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#actum"	"5780"	"Petronius, Satyricon: 26-78"
"acus –us m."	"acus –ūs m."	"hairpin, needle"	"hairpin, needle"	"76"	"2"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#acus"	"3893"	"Petronius, Satyricon: 26-78"
"acutus –a –um"	"acūtus –a –um"	"sharp, piercing"	"sharp, piercing"	"39"	"5"	"3"	"Adjective"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#acutus"	"1899"	"Petronius, Satyricon: 26-78"
"ac–cognosco –cognoscere –cognovi –cognitum "	"ac–cognōscō –cognōscere –cognōvī –cognitum "	"to know or recognize perfectly"	"to know or recognize perfectly"	"69"	"1"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#accognosco"	"14269"	"Petronius, Satyricon: 26-78"
"ad"	"ad"	"to, up to, towards"	"toward, to; for the purpose or benefit of ; to suit (+ acc.)"	"26"	"273"	"99"	"Preposition"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#ad"	"10"	"Petronius, Satyricon: 26-78"
"adduco adducere adduxi adductus"	"addūcō adducere addūxī adductus"	"to lead to, induce"	"to lead up/to/away; bring up/to; persuade, induce; lead, bring; contract, tighten"	"47"	"7"	"4"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adduco"	"787"	"Petronius, Satyricon: 26-78"
"adeo"	"adeō"	"so, to such a point, to such an extent"	"so, to such a point; precisely, exactly; thus far; indeed, truly; even"	"37"	"7"	"3"	"Adverb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adeo"	"407"	"Petronius, Satyricon: 26-78"
"adeo adire adivi/adii aditus"	"adeō adīre adīvī/adiī aditus"	"to go to"	"to approach; attack; visit, address; undertake; take possession (inheritance)"	"28"	"3"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adeo"	"916"	"Petronius, Satyricon: 26-78"
"adfigo –ere –fixi –fixus"	"adfīgō –ere –fīxī –fīxus"	"to fasten to"	"to fasten to, put to; perf. p. pass., clinging to"	"34"	"4"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adfigo"	"2970"	"Petronius, Satyricon: 26-78"
"adgredior (aggredior) aggredi aggressus sum"	"adgredior (aggredior) aggredī aggressus sum"	"to approach"	"to approach, advance; attack, assail; undertake, seize (opportunity), attempt"	"36"	"5"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adgredior"	"1402"	"Petronius, Satyricon: 26-78"
"adhibeo adhibere adhibui adhibitus"	"adhibeō adhibēre adhibuī adhibitus"	"to apply"	"to summon, invite, bring in; consult; put, add; use, employ, apply; hold out to; bring on stage, introduce"	"45"	"2"	"1"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adhibeo"	"1530"	"Petronius, Satyricon: 26-78"
"adhuc"	"adhūc"	"thus far, to this point, still"	"thus far, till now, to this point; hitherto; yet, as yet; still; besides"	"33"	"30"	"11"	"Adverb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adhuc"	"401"	"Petronius, Satyricon: 26-78"
"adicio adicere adieci adiectus"	"adiciō adicere adiēcī adiectus"	"to throw to"	"to throw at, add"	"34"	"13"	"10"	"Verb"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#adicio"	"1598"	"Petronius, Satyricon: 26-78"
"aditus aditus m."	"aditus aditūs m."	"an approach, access"	"approach, access; attack; entrance; chance, opportunity, means, way; beginning"	"73"	"5"	"1"	"Noun"	"Forcellini"	"Logeion"	"http://logeion.uchicago.edu/index.html#aditus"	"1598"	"Petronius, Satyricon: 26-78"
